Sector,Main Sector,industry
"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Health Care & Wellness,health
"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Health Care & Wellness,health
"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Health Care & Wellness,health
"Fitness, Food and Beverage, Health Care, Nutrition",Health Care & Wellness,health
"Fitness, Health Care, Wellness",Health Care & Wellness,health
Health Care,Health Care & Wellness,health
"Health Care, Health Insurance",Health Care & Wellness,health
"Health Care, Hospital",Health Care & Wellness,health
"Health Care, Hospital, Medical",Health Care & Wellness,health
"Health Care, Hospital, Supply Chain Management",Health Care & Wellness,health
"Health Care, Hospital, Wellness",Health Care & Wellness,health
"Health Care, Hospitality",Health Care & Wellness,health
"Health Care, Medical",Health Care & Wellness,health
"Health Care, Medical Device, Mobile Apps",Health Care & Wellness,health
"Health Care, Medical Device, Public Safety",Health Care & Wellness,health
"Health Care, Medical, Pharmaceutical",Health Care & Wellness,health
"Health Care, Pharmaceutical, Wellness",Health Care & Wellness,health
Health Diagnostics,Health Care & Wellness,health
Healthcare,Health Care & Wellness,health
Hospital,Health Care & Wellness,health
Medical,Health Care & Wellness,health
Medical Device,Health Care & Wellness,health
"Medical, Tourism",Health Care & Wellness,health
Pharmaceutical,Health Care & Wellness,health
"Apps, Fitness, Health Care, mHealth",Healthtech,health
"Apps, Health Care, Hospital, Mobile Apps",Healthtech,health
"Apps, Health Care, Internet, Mobile Apps, Personal Health",Healthtech,health
"Apps, Health Care, Pharmaceutical",Healthtech,health
"B2B, Medical Device",Healthtech,health
"Child Care, Information Technology",Healthtech,health
"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Healthtech,health
"Embedded Systems, Health Care, Medical, Product Research",Healthtech,health
"Eyewear, Internet",Healthtech,health
"Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",Healthtech,health
"Health Care, Health Diagnostics, Predictive Analytics",Healthtech,health
"Health Care, Hospital, Medical, Robotics",Healthtech,health
"Health Care, Information Technology",Healthtech,health
"Health Care, Information Technology, Management Information Systems",Healthtech,health
"Apps, Messaging, Navigation, Public Safety",ICT,technology
"Artificial Intelligence, Human Resources, Information Services, Information Technology",ICT,technology
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
E-commerce,,
SaaS,,
E-Sports,,
Technology,,
AgriTech,,
Foodtech,,
,,
Cosmetics,,
B2B,,
,,
Jewellery,,
,,
,,
AgriTech,,
Food & tech,,
Logistics,,
Accomodation,,
Automotive tech,,
Automotive tech,,
E-commerce,,
Legal tech,,
Edtech,,
Food,,
Mutual Funds,,
Cybersecurity,,
Edtech,,
Automobile,,
Logistics,,
Automobile,,
Healthtech,,
Yoga & wellness,,
Virtual Banking,,
Accomodation,,
Transportation,,
Transport & Rentals,,
Technology,,
Marketing & Customer loyalty,,
Infratech,,
Hospitality,,
Automobile & Technology,,
Automobile,,
Banking,,
AgriTech,,
EdTech,,
Hygiene management,,
Escrow,,
AgriTech,,
AgriTech,,
EdTech,,
Networking platform,,
FinTech,,
Crowdsourcing,,
Food & Bevarages,,
HealthTech,,
Fashion startup,,
Food & Bevarages,,
Food Industry,,
Food Delivery,,
Virtual auditing startup,,
E-commerce,,
FinTech,,
FinTech,,
Gaming,,
FinTech,,
FinTech,,
Work fulfillment,,
FinTech,,
FinTech,,
AI startup,,
Telecommunication,,
Food Industry,,
E-commerce,,
AgriTech,,
Logistics,,
FinTech,,
EdTech,,
Tech Startup,,
Sports,,
E-commerce,,
E-commerce,,
Retail,,
Medtech,,
Tyre management,,
FinTech,,
Cloud company,,
Software company,,
Venture capitalist,,
Renewable player,,
FinTech,,
EdTech,,
IoT startup,,
SaaS startup,,
FinTech,,
HealthTech,,
HealthTech,,
Aero company,,
Marketing company,,
Retail startup,,
FinTech,,
EdTech,,
Co-working Startup,,
Logistics,,
Finance company,,
FinTech,,
AgriTech,,
Tech company,,
Solar Monitoring Company,,
SaaS startup,,
Video sharing platform,,
Gaming startup,,
E-commerce,,
Video streaming platform,,
Consumer appliances,,
E-commerce,,
FinTech,,
EdTech,,
Gaming startup,,
HealthTech,,
Blockchain startup,,
Conversational AI platform,,
E-commerce,,
AgriTech,,
Real Estate,,
Venture capitalist,,
E-commerce,,
EdTech,,
Finance company,,
Finance company,,
SaaS platform,,
EdTech,,
SaaS platform,,
AI platform,,
EdTech,,
EdTech,,
Fusion beverages,,
HR Tech,,
Gaming,,
Job portal,,
Hospitality,,
Job portal,,
Digital Media,,
FinTech,,
FinTech,,
AI startup,,
Dairy startup,,
Content management,,
Retail,,
Spacetech,,
HealthTech,,
Transportation,,
Trading platform,,
FinTech,,
Tech company,,
FinTech,,
AI Company,,
Tech company,,
Photonics startup,,
FinTech,,
EdTech,,
EdTech,,
HealthTech,,
Entertainment,,
Cosmetics,,
Scanning app,,
FinTech,,
Skincare startup,,
EdTech,,
E-commerce,,
Food and Beverages,,
AI startup,,
EdTech,,
Biotechnology company,,
AI startup,,
Gaming startup,,
FinTech,,
HealthTech,,
E-commerce,,
Gaming startup,,
FinTech,,
FoodTech,,
Proptech,,
HealthTech,,
CleanTech,,
SaaS startup,,
HealthTech,,
Tech Startup,,
SaaS platform,,
Biotechnology company,,
FinTech,,
E-commerce,,
Fitness startup,,
Cosmetics,,
Venture capitalist,,
FinTech,,
Healthcare,,
SaaS startup,,
E-commerce,,
FinTech,,
HealthTech,,
AgriTech,,
PaaS startup,,
Entertainment,,
EdTech,,
Retail,,
Beverages,,
HealthTech,,
EdTech,,
E-commerce,,
Social Media,,
Automobiles,,
SaaS startup,,
FinTech,,
Fashion startup,,
EdTech,,
Food & Bevarages,,
Deeptech,,
EV startup,,
EdTech,,
EdTech,,
AR/VR startup,,
E-commerce,,
Recruitment startup,,
HealthTech,,
QSR startup,,
Video platform,,
Food & Bevarages,,
EdTech,,
EdTech,,
AI startup,,
Logistics,,
Gaming,,
AI startup,,
Hospitality,,
AgriTech,,
FinTech,,
AgriTech,,
AgriTech,,
E-commerce,,
FinTech,,
Transportation,,
FinTech,,
Edtech,,
E-commerce,,
Fertility tech,,
FinTech,,
Luxury car startup,,
Healthcare,,
Cosmetics,,
E-commerce,,
Gaming startup,,
Cosmetics,,
FM,,
Healthcare,,
E-commerce,,
Retail,,
E-commerce,,
Food,,
Edtech,,
Nutrition sector,,
AgriTech,,
FinTech,,
Tech platform,,
Healthcare,,
Video,,
Retail Tech,,
Tech company,,
FinTech,,
AI startup,,
Cosmetics,,
FinTech,,
Edtech,,
AI startup,,
Edtech,,
Medtech,,
HeathTech,,
Edtech,,
Automobiles,,
Social Media,,
Retail startup,,
Gaming,,
Medtech,,
Retail,,
Sles and marketing,,
LegalTech,,
Edtech,,
SaaS startup,,
Car Service,,
E-commerce,,
Tech Startup,,
FoodTech,,
Tech Startup,,
Bike marketplace,,
Agri tech,,
Automobiles,,
Fitness startup,,
FoodTech,,
Food & Bevarages,,
Tech Startup,,
Real Estate,,
SaaS startup,,
Reatil startup,,
AR platform,,
EV startup,,
FinTech,,
Deeptech,,
LegalTech,,
FinTech,,
Consumer Goods,,
AI startup,,
FinTech,,
Food Industry,,
Food Industry,,
Content marketplace,,
Interior Design,,
Healthcare,,
Healthcare,,
Tech company,,
AgriTech,,
Edtech,,
FinTech,,
FinTech,,
SaaS startup,,
Retail,,
Edtech,,
AI startup,,
Rental space,,
AgriTech,,
Soil-Tech,,
Recruitment startup,,
AI startup,,
FinTech,,
Edtech,,
Ayurveda tech,,
Packaging solution startup,,
SaaS startup,,
Gaming,,
Hospitality,,
Cleantech,,
Social Media,,
LegalTech,,
Gaming,,
Sanitation solutions,,
SaaS startup,,
Tech company,,
E-commerce,,
Edtech,,
AgriTech,,
Tech company,,
HealthCare,,
FinTech,,
E-commerce,,
E-commerce,,
HealthCare,,
Home Design,,
InsureTech,,
AgriTech,,
AI Startup,,
Tech Startup,,
Entertainment,,
Tech company,,
Tech company,,
EdTech,,
Entertainment,,
Solar solution,,
E-commerce,,
FinTech,,
FinTech,,
HealthCare,,
EdTech,,
Jewellery startup,,
Multinational conglomerate company,,
FinTech,,
Deeptech startup,,
Social Network,,
Publication,,
Publication,,
Entertainment,,
SaaS platform,,
Tech,,
Tech Startup,,
HealthTech,,
Food,,
Fashion,,
Finance,,
Finance,,
Finance,,
EdTech,,
Real Estate,,
Venture capital,,
Entreprenurship,,
Food devlivery,,
Tech Startup,,
Entertainment,,
AgriTech,,
Cosmetics,,
Warehouse,,
AgriTech,,
Logistics,,
Online financial service,,
Eyeglasses,,
Battery design,,
Online credit management startup,,
Beverage,,
Tech Startup,,
EdTech,,
HealthCare,,
E-commerce,,
EdTech,,
Car Service,,
Food devlivery,,
SaaS startup,,
Tech,,
TravelTech,,
Fitness startup,,
E-commerce,,
Tech company,,
EdTech,,
E-commerce,,
EV startup,,
EdTech,,
EdTech,,
EdTech,,
SaaS startup,,
E-commerce,,
Agriculture,,
Startup laboratory,,
Food Industry,,
FinTech,,
Tech Startup,,
E-commerce,,
HealthTech,,
Entertainment,,
AgriTech,,
SaaS startup,,
Personal care startup,,
FinTech,,
Tech Startup,,
FinTech,,
Entertainment,,
SaaS startup,,
Customer service company,,
SaaS  startup,,
Tech Startup,,
Marketing startup,,
Service industry,,
Social media,,
AI,,
Jewellery,,
Hospitality,,
Tech Startup,,
AR startup,,
HR Tech startup,,
Automotive Startup,,
Food Startup,,
HealthCare,,
Publication,,
FinTech,,
Fitness startup,,
EdTech Startup,,
E-commerce,,
EdTech Startup,,
Tech Startup,,
Tech,,
Finance,,
EdTech,,
Car Trade,,
EdtTech,,
Manufacturing,,
EdTech,,
Job portal,,
Tech,,
Tech,,
AI Platform,,
Home Design,,
Automation,,
Gaming,,
Solar SaaS,,
WL & RAC protection,,
Social commerce,,
AgriTech,,
SaaS startup,,
Home interior services,,
Fashion,,
Finance,,
EdTech Startup,,
Agritech startup,,
API platform,,
Deep Tech,,
EdTech Startup,,
Electricity,,
Automotive company,,
Entertainment,,
FMCG,,
FinTech,,
FinTech,,
Insurance Tech,,
EdTech,,
EdTech,,
Video personalization,,
Software Company,,
FinTech,,
FinTech,,
Gaming,,
Biomaterial startup,,
Venture capital,,
Health,,
IT,,
Finance,,
Craft Beer,,
E-commerce,,
E-commerce,,
Entertainment,,
Healthtech,,
AI startup,,
Education,,
Education,,
Investment,,
Fashion,,
Health,,
Tech,,
TravelTech,,
Entertainment,,
Healthcare,,
EdTech,,
